row_id,order_id,created_at,item_name,item_cat,item_size,item_price,quantity,delivery,cust_firstname,cust_lastname,delivery_address1,delivery_address2,delivery_city,delivery_zip
1,ORD_001,4/20/2023 12:30,Pugliese,Pizza,Large,17,2,Y,Marsha,DeVore,695 Lazy Oak,,New Lenox village,
2,ORD_001,4/20/2023 12:30,Garlic Bread,Side,Regular,7,2,Y,Marsha,DeVore,696 Lazy Oak,,New Lenox village,
3,ORD_001,4/20/2023 12:30,Cheesy Bread,Side,Regular,7,2,Y,Marsha,DeVore,697 Lazy Oak,,New Lenox village,
4,ORD_001,4/20/2023 12:30,Brownies,Dessert,Large,10,2,Y,Marsha,DeVore,698 Lazy Oak,,New Lenox village,
5,ORD_001,4/20/2023 12:30,Sweet Tea,Beverage,1.5L,4,4,Y,Marsha,DeVore,699 Lazy Oak,,New Lenox village,
6,ORD_002,4/21/2023 16:15,Ortolana,Pizza,Large,19,,,Jacob,,733 Cozy Lock Quay,,Clearview Acres,
7,ORD_002,4/21/2023 16:15,Margherita,Pizza,Regular,12,,,Jacob,,583 Fawn Village,,Creekside,
8,ORD_002,4/21/2023 16:15,Cheesy Bread,Side,Regular,5,,,Jacob,,20 Summit Street,,Clover,
9,ORD_002,4/21/2023 16:15,Caesar Salad,Side,Regular,7,,,Jacob,,81 W Trafficway,,Gaithersburg,
10,ORD_002,4/21/2023 16:15,Coca Cola,Beverage,1.5L,,,,Jacob,,45 Ironwood Highlands,,Montclair,
11,ORD_002,4/21/2023 16:15,7 Up,Beverage,1.5L,,,,Jacob,,31 Hidden Main,,Hazard,
12,ORD_002,4/21/2023 16:15,Sweet Tea,Beverage,16oz,,,,Jacob,,656 Second Overpass,,Otis,
13,ORD_003,4/21/2023 19:45,Margherita,Pizza,Large,,,,Mary,,707 Round Goose Parkway,,Clearbrook,
14,ORD_003,4/21/2023 19:45,Margherita,Pizza,Large,,,,Mary,,598 Green Lake,,Chehalis,
15,ORD_003,4/21/2023 19:45,Ortolana,Pizza,Large,,,,Mary,,203 Velvet Ramp,,Flaxville,
16,ORD_003,4/21/2023 19:45,Napolitana,Pizza,Regular,,,,Mary,,812 Emerald Rabbit,,Cottonport,
17,ORD_003,4/21/2023 19:45,Hawaiian,Pizza,Regular,,,,Mary,,50 Fallen Treasure,,Lewisburg village,
18,ORD_003,4/21/2023 19:45,Garlic Bread,Side,Regular,,,,Mary,,60 Rustic Main Land,,Scio village,
19,ORD_004,4/22/2023 14:35,Vegetariana,Pizza,Regular,,,,Armond,,368 Misty Creek,,Robbinsdale,
20,ORD_004,4/22/2023 14:35,Pepperoni,Pizza,Large,,,,Armond,,315 Ninth Woods,,South Vinemont,
21,ORD_004,4/22/2023 14:35,Hawaiian,Pizza,Regular,,,,Armond,,944 Cozy Chase,,Lydia,
22,ORD_004,4/22/2023 14:35,Garlic Bread,Side,Regular,,,,Armond,,975 Round Forest,,Irvington village,
23,ORD_004,4/22/2023 14:35,Caesar Salad,Side,Regular,,,,Armond,,847 Grove Point,,Whelen Springs,
24,ORD_004,4/22/2023 14:35,Chicken Wings,Side,Regular,,,,Armond,,168 Umber Point,,Bergholz village,
25,ORD_004,4/22/2023 14:35,Zeppoles,Dessert,Regular,,,,Armond,,728 Anchor Heights,,Memphis village,
26,ORD_004,4/23/2023 14:35,Coca Cola,Beverage,1.5L,,,,Armond,,890 NE Swale,,Hagan,
27,ORD_005,4/23/2023 18:35,Parmigiana,Pizza,Large,,,,Chloe,,989 Lake Parade,,Friendly,
28,ORD_005,4/23/2023 18:35,Cheesy Bread,Side,Regular,,,,Chloe,,948 Middle Bank,,Patton Village,
29,ORD_005,4/23/2023 18:35,Chocolate Brownie,Dessert,Regular,,,,Chloe,,494 W Bank,,Freeland borough,
30,ORD_006,4/23/2023 19:35,Pepperoni,Pizza,Regular,,,,Ivan,,447 NE Rabbit Edge,,Galesville,
31,ORD_006,4/24/2023 19:35,Hawaiian,Pizza,Regular,,,,Ivan,,622 Iron Fillmore,,Littlerock,
32,ORD_006,4/25/2023 19:35,Garlic Bread,Side,Regular,,,,Ivan,,800 Cedar Lodge Bypass,,Time village,
33,ORD_006,4/26/2023 19:45,Sweet Tea,Beverage,16oz,,,,Ivan,,340 Crescent Crossroad,,Laguna Woods,
34,ORD_007,4/26/2023 19:45,Ortolana,Pizza,Large,,,,Dave,,318 Red Rest Plaza,,Plain village,
35,ORD_007,4/26/2023 19:45,Pugliese,Pizza,Regular,,,,Dave,,752 Silver Rapid,,Mondamin,
36,ORD_007,4/26/2023 19:45,Garlic Bread,Side,Regular,,,,Dave,,892 Cloud Falls,,Cherokee Village,
37,ORD_007,4/26/2023 19:45,Gelato-Strawberry,Dessert,Regular,,,,Dave,,511 Clear Way,,Westcliffe,
38,ORD_007,4/26/2023 19:45,Gelato-Raspberry,Dessert,Regular,,,,Dave,,234 Cozy Woods,,Fort Pierce North,
39,ORD_008,4/27/2023 19:45,Parmigiana,Pizza,Regular,,,,Joy,,146 Well Haven,,Brea,
40,ORD_008,4/27/2023 19:45,Napolitana,Pizza,Regular,,,,Joy,,264 Blue Eighth,,Okahumpka,
,,,,,,,,,,,768 Sleepy Squaw,,Trail Creek,
,,,,,,,,,,,249 SE Dale,,Halifax,
,,,,,,,,,,,100 Barn Cove,,New Lenox village,
,,,,,,,,,,,9 Misty Fifth,,Fall River village,
,,,,,,,,,,,758 Umber Summit,,Altamahaw-Ossipee,
,,,,,,,,,,,32 Jagged Seventh Alley,,Elsmere,
,,,,,,,,,,,11 Middle Mission Plaza,,Moclips,
,,,,,,,,,,,902 Sky Corner,,Prescott village,
,,,,,,,,,,,812 Amber Course,,Lake Minchumina,
,,,,,,,,,,,36 Perkins Terrace,,Snyder borough,
,,,,,,,,,,,732 Bright Zephyr Beach,,Wheeler AFB,
,,,,,,,,,,,494 Round Cloud Cove,,Lerna village,
,,,,,,,,,,,697 Fourth Run,,Fletcher,
,,,,,,,,,,,104 Green Robin,,Addison village,
,,,,,,,,,,,114 Green Gate,,Tomball,
,,,,,,,,,,,813 Colonial Lawn,,Oscoda,
,,,,,,,,,,,248 Cloud Narrow,,Aliquippa,
,,,,,,,,,,,219 Rocky Canyon,,Bartley village,
,,,,,,,,,,,314 High Second,,Pritchett,
,,,,,,,,,,,387 Harvest Ford Bypass,,Kasson,
,,,,,,,,,,,472 Lazy Arbor,,Holly Grove,
,,,,,,,,,,,852 Foggy Sixth Station,,Tok,
,,,,,,,,,,,358 Sunny Common Drive,,North Potomac,
,,,,,,,,,,,920 Green Embers,,English borough,
,,,,,,,,,,,458 Dusty Autumn,,Indiana borough,
,,,,,,,,,,,77 Common Harbor,,Hartrandt,
,,,,,,,,,,,535 Cedar Timber Farms,,Greenport village,
,,,,,,,,,,,463 Silver Spring,,Lime Ridge village,
,,,,,,,,,,,624 Fawn Parkway,,Kelso,
,,,,,,,,,,,514 End Radial,,Forks,
,,,,,,,,,,,5 S Plain,,New Grant,
,,,,,,,,,,,326 Hidden Ninth Mews,,Wyomissing borough,
,,,,,,,,,,,925 Iron Perkins,,Mignon,
,,,,,,,,,,,273 Jagged Ford,,Shoals,
,,,,,,,,,,,638 Lost Mission Square,,Duncan,
,,,,,,,,,,,38 Burning Jetty,,Chapman borough,
,,,,,,,,,,,627 NW Essex,,River Rouge,
,,,,,,,,,,,304 Neck Divide,,Dayton Lakes,
,,,,,,,,,,,223 Jagged Anchor Mill,,Junction,
,,,,,,,,,,,973 Lazy Apple,,Early,
,,,,,,,,,,,560 Harvest Blossom,,Crugers,
,,,,,,,,,,,94 Amber Brook Path,,Wardner,
,,,,,,,,,,,399 Deer Stravenue,,Solomons,
,,,,,,,,,,,716 High Neck,,Redwood,
,,,,,,,,,,,310 Emerald Rose,,Syracuse,
,,,,,,,,,,,4 Merry Third,,Missouri,
,,,,,,,,,,,238 Emerald Court,,Mineola village,
,,,,,,,,,,,605 Common Mill,,Madison Lake,
,,,,,,,,,,,742 Quaking Lagoon Edge,,Reedley,
,,,,,,,,,,,798 Shady Heights,,Herkimer village,
,,,,,,,,,,,5 Old Wall,,Birch Creek,
,,,,,,,,,,,695 Cotton Field Woods,,Troup,
,,,,,,,,,,,278 View Passage,,Henry,
,,,,,,,,,,,894 Silver Ledge,,Hickory Flat,
,,,,,,,,,,,291 Stony Anchor,,Onley,
,,,,,,,,,,,127 Dewy Flat,,Saxman,
,,,,,,,,,,,690 E Crescent Arcade,,Timber Lake,
,,,,,,,,,,,577 Burning Dale,,Pisinemo,
,,,,,,,,,,,43 Course Tunnel,,Kasigluk,
,,,,,,,,,,,132 Elk Driveway,,Bayboro,
,,,,,,,,,,,443 Barn Parkway,,Opdyke West,
,,,,,,,,,,,255 Anchor Square,,Walkerton,
,,,,,,,,,,,302 Blue Ledge,,West York borough,
,,,,,,,,,,,722 Iron Rapid,,Bull Run,
,,,,,,,,,,,216 Crystal View,,Foss,
,,,,,,,,,,,874 Cinder Bluff,,Lillie village,
,,,,,,,,,,,235 Old Field Bay,,Goodrich,
,,,,,,,,,,,346 Rise Vista,,Fort Meade,
,,,,,,,,,,,322 Merry Junction,,Mobeetie,
,,,,,,,,,,,820 Stony Gate Corner,,Clementon borough,
,,,,,,,,,,,982 NE Hickory Track,,Ochlocknee,
,,,,,,,,,,,676 Crystal Brook,,Union Springs,
,,,,,,,,,,,430 Hazy Well Causeway,,Hall Summit village,
,,,,,,,,,,,226 S Robin,,Arab,
,,,,,,,,,,,516 Rustic Mall,,Belgium village,
,,,,,,,,,,,135 Gentle Orchard,,New Munich,
,,,,,,,,,,,734 Gentle Center Approach,,Hannah,
,,,,,,,,,,,34 W Beacon Falls,,August,
,,,,,,,,,,,417 Second Port,,Mesquite Creek,
,,,,,,,,,,,144 Stony Apple Swale,,North Lakeville,
,,,,,,,,,,,615 Essex Highlands,,Reserve ship,
,,,,,,,,,,,738 Misty Main Road,,Doolittle,
,,,,,,,,,,,446 Light Divide,,Iowa Colony village,
,,,,,,,,,,,996 Heather Bluff,,Dodge,
,,,,,,,,,,,828 Round Bluff,,Belford,
,,,,,,,,,,,345 Dusty Log Run,,Underwood,
,,,,,,,,,,,33 Broad Lock Estate,,Harveyville,
,,,,,,,,,,,368 Thunder Hickory Court,,Ash Flat,
,,,,,,,,,,,115 Round Quail Boulevard,,Ten Broeck,
,,,,,,,,,,,737 Pony Swale,,Aldora,
,,,,,,,,,,,32 NE Center,,Dunellen borough,
,,,,,,,,,,,22 Pleasant Forge Woods,,South Shaftsbury,
,,,,,,,,,,,832 Jagged Beacon,,Ayr,
,,,,,,,,,,,212 SW Log,,Worthville borough,
,,,,,,,,,,,858 Sunny Lodge Canyon,,Kevil,
,,,,,,,,,,,184 NE Horse,,Redford,
,,,,,,,,,,,960 Quiet Elm,,Braxton village,
,,,,,,,,,,,376 Pioneer Mount,,Ekwok,
,,,,,,,,,,,440 Merry Trace,,Peninsula village,
,,,,,,,,,,,751 High Bayoo,,Macedon village,
,,,,,,,,,,,303 Zephyr Acres,,Brookston,
,,,,,,,,,,,45 Pleasant Seventh,,Orchard village,
,,,,,,,,,,,534 Barn Mill,,Iberia,
,,,,,,,,,,,882 End Throughway,,Primrose village,
,,,,,,,,,,,822 Broad Quail Bridge,,New Miami village,
,,,,,,,,,,,398 Sky Trafficway,,New Castle,
,,,,,,,,,,,481 Middle Cliff,,Ewing,
,,,,,,,,,,,751 Little Kennedy Bend,,Thomasboro village,
,,,,,,,,,,,791 W Sky,,Cranfills Gap,
,,,,,,,,,,,610 Butterfly Causeway,,Bostwick,
,,,,,,,,,,,115 NE Track,,Perrysburg village,
,,,,,,,,,,,141 Gentle Gardens,,Cerritos,
,,,,,,,,,,,35 Rabbit Farms,,Craigmont,
,,,,,,,,,,,912 Misty Place,,Coolville village,
,,,,,,,,,,,532 Foggy Causeway,,Paintsville,
,,,,,,,,,,,492 Hidden Crossroad,,South Rosemary,
,,,,,,,,,,,855 Noble Fort Way,,Blasdell village,
,,,,,,,,,,,901 Ford Village,,Cusick,
,,,,,,,,,,,905 Merry Mill,,Cainsville,
,,,,,,,,,,,83 Shadow Pass,,Ratliff,
,,,,,,,,,,,433 Little Pine,,Newhalen,
,,,,,,,,,,,302 Round Glen,,Bozeman,
,,,,,,,,,,,346 Common Lane,,Ambridge borough,
,,,,,,,,,,,207 Lake Highway,,Nome,
,,,,,,,,,,,527 Velvet Hollow,,Melbourne,
,,,,,,,,,,,980 Heather Chase,,Spearville,
,,,,,,,,,,,394 Dusty Embers,,Sinton,
,,,,,,,,,,,644 Iron Club,,Bernie,
,,,,,,,,,,,284 Fort Gardens,,Falling Spring,
,,,,,,,,,,,703 Fork Curve,,Streetman,
,,,,,,,,,,,580 Dusty Common,,Reklaw,
,,,,,,,,,,,941 Umber Glade,,Bonita village,
,,,,,,,,,,,356 Bear Drive,,North Hills village,
,,,,,,,,,,,419 Branch Bank,,Scio village,
,,,,,,,,,,,227 Eighth Curve,,Earling,
,,,,,,,,,,,304 Amber Haven,,Applewood,
,,,,,,,,,,,943 Brook Row,,Red Oak,
,,,,,,,,,,,821 Lagoon Inlet,,Tiptonville,
,,,,,,,,,,,150 Hazy Fifth Stead,,Peconic,
,,,,,,,,,,,411 Elm Causeway,,Fairview Heights,
,,,,,,,,,,,526 Grand Mall Plain,,Grand Beach village,
,,,,,,,,,,,260 Dale Terrace,,Hephzibah,
,,,,,,,,,,,635 Stony Mews,,Deal borough,
,,,,,,,,,,,110 W Light Farms,,Sweet Water,
,,,,,,,,,,,968 Golden Fair,,Koyukuk,
,,,,,,,,,,,511 Sunny Panda,,Union Star,
,,,,,,,,,,,749 Maple Alley,,Moss Landing,
,,,,,,,,,,,395 Broad Apple Overpass,,Plainwell,
,,,,,,,,,,,612 Robin Lane,,Cunningham,
,,,,,,,,,,,172 Gentle Ninth,,Irwin,
,,,,,,,,,,,687 Hidden Smith,,Mahaska,
,,,,,,,,,,,243 Silent Circle Turnpike,,Amelia,
,,,,,,,,,,,548 Golden Estate,,Kiryas Joel village,
,,,,,,,,,,,328 Rustic Rabbit,,Onslow,
,,,,,,,,,,,736 Rocky Square,,Elba,
,,,,,,,,,,,719 Hidden Hollow,,Granger,
,,,,,,,,,,,750 Essex Dam,,San Felipe,
,,,,,,,,,,,191 Quail Mount,,Bee village,
,,,,,,,,,,,259 Cozy Forest,,St. Peter village,
,,,,,,,,,,,216 Stony Embers,,Oradell borough,
,,,,,,,,,,,868 Elm Nook,,Tselakai Dezza,
,,,,,,,,,,,176 Grand Cider Inlet,,Alford,
,,,,,,,,,,,373 Lazy Expressway,,Sims village,
,,,,,,,,,,,395 Broad Elk,,Altoona,
,,,,,,,,,,,113 W Wintergreen Trafficway,,Walnut,
,,,,,,,,,,,76 Fallen Pine Plaza,,Sullivan,
,,,,,,,,,,,308 Robin Glen,,Steilacoom,
,,,,,,,,,,,440 Colonial Port,,Northway Junction,
,,,,,,,,,,,614 Silent Field,,Oak Harbor village,
,,,,,,,,,,,21 Hidden Panda,,Ceylon,
,,,,,,,,,,,516 E Course,,League,
,,,,,,,,,,,758 S Cliff Throughway,,Mobeetie,
,,,,,,,,,,,908 Amber Fifth Key,,Lone Tree,
,,,,,,,,,,,999 Pleasant Camp,,Lengby,
,,,,,,,,,,,430 High Beacon,,Colton,
,,,,,,,,,,,823 E Center,,Whitewater,
,,,,,,,,,,,559 Crystal Heights,,Queen Anne,
,,,,,,,,,,,365 SE Pony Chase,,Braden,
,,,,,,,,,,,460 Squaw Trace,,Alton,
,,,,,,,,,,,473 SW Turnpike,,Vicksburg,
,,,,,,,,,,,189 Cider Avenue,,Vanlue village,
,,,,,,,,,,,477 SE Eighth Falls,,Lake Katrine,
,,,,,,,,,,,974 S View,,West Samoset,
,,,,,,,,,,,654 Fallen Beach,,Tar Heel,
,,,,,,,,,,,692 Easy Timber Manor,,Olmsted village,
,,,,,,,,,,,525 Tawny Pine,,Manalapan,
,,,,,,,,,,,132 Umber Key,,Cheneyville,
,,,,,,,,,,,102 Sunny Deer,,Westvillage,
,,,,,,,,,,,818 Umber Hickory Viaduct,,Wilbur,
,,,,,,,,,,,967 Horse Mount,,Royal Pines,
,,,,,,,,,,,74 Round Shadow,,Roanoke village,
,,,,,,,,,,,641 Wishing Square,,Sodus village,
,,,,,,,,,,,490 Second Inlet,,Andale,
,,,,,,,,,,,747 Log Alley,,New Whiteland,
,,,,,,,,,,,5 Umber Fourth,,Grantville,
,,,,,,,,,,,87 Amber Course,,Puxico,
,,,,,,,,,,,587 Colonial Pine,,Turnersville,
,,,,,,,,,,,258 Cotton Isle,,Fort Dix,
,,,,,,,,,,,729 Dusty Wall,,Enumclaw,
,,,,,,,,,,,643 Rustic Nectar,,Chinook,
,,,,,,,,,,,959 Beacon Junction,,South Toledo Bend,
,,,,,,,,,,,819 Iron Prairie,,Springport,
,,,,,,,,,,,942 Ninth Village,,Clarence Center,
,,,,,,,,,,,881 Indian Butterfly Square,,Yantis,
,,,,,,,,,,,209 Silver Club Place,,Horseshoe Bend,
